t, x, z, xf, vf, P11, P12, P22
92.000000, 36.585786, 36.151551, 36.387104, 0.370558, 0.131851, 0.009317, 0.001365
93.000000, 37.388860, 38.341550, 36.966500, 0.385316, 0.131851, 0.009317, 0.001365
94.000000, 38.234633, 38.734839, 37.534169, 0.398202, 0.131851, 0.009317, 0.001365
95.000000, 39.109819, 39.693205, 38.164539, 0.414609, 0.131851, 0.009317, 0.001365
96.000000, 40.000000, 40.069433, 38.775643, 0.428494, 0.131851, 0.009317, 0.001365
97.000000, 40.890181, 40.698888, 39.401222, 0.442422, 0.131851, 0.009317, 0.001365
98.000000, 41.765367, 40.845499, 39.975739, 0.451756, 0.131851, 0.009317, 0.001365
99.000000, 42.611140, 42.293653, 40.673551, 0.469144, 0.131851, 0.009317, 0.001365
100.000000, 43.414214, 42.277253, 41.292288, 0.479715, 0.131851, 0.009317, 0.001365
101.000000, 44.162939, 43.541087, 42.005259, 0.496199, 0.131851, 0.009317, 0.001365
102.000000, 44.847759, 45.210296, 42.858621, 0.521438, 0.131851, 0.009317, 0.001365
103.000000, 45.461571, 46.565039, 43.800003, 0.551114, 0.131851, 0.009317, 0.001365
104.000000, 46.000000, 46.914737, 44.689133, 0.575001, 0.131851, 0.009317, 0.001365
105.000000, 46.461571, 45.836893, 45.339653, 0.580337, 0.131851, 0.009317, 0.001365
106.000000, 46.847759, 48.165177, 46.216021, 0.601257, 0.131851, 0.009317, 0.001365
107.000000, 47.162939, 45.743319, 46.675675, 0.591250, 0.131851, 0.009317, 0.001365
108.000000, 47.414214, 46.089343, 47.111660, 0.580278, 0.131851, 0.009317, 0.001365
109.000000, 47.611140, 48.228328, 47.762661, 0.585276, 0.131851, 0.009317, 0.001365
110.000000, 47.765367, 47.718534, 48.264950, 0.579412, 0.131851, 0.009317, 0.001365
111.000000, 47.890181, 49.252175, 48.898132, 0.583211, 0.131851, 0.009317, 0.001365
112.000000, 48.000000, 47.394529, 49.206195, 0.563768, 0.131851, 0.009317, 0.001365
113.000000, 48.109819, 46.612609, 49.353662, 0.534349, 0.131851, 0.009317, 0.001365
114.000000, 48.234633, 49.272739, 49.806887, 0.528616, 0.131851, 0.009317, 0.001365
115.000000, 48.388860, 47.661173, 49.982890, 0.503698, 0.131851, 0.009317, 0.001365
116.000000, 48.585786, 50.539614, 50.493580, 0.504192, 0.131851, 0.009317, 0.001365
117.000000, 48.837061, 47.659204, 50.557578, 0.473085, 0.131851, 0.009317, 0.001365
118.000000, 49.152241, 48.365023, 50.679196, 0.448248, 0.131851, 0.009317, 0.001365
119.000000, 49.538429, 50.241499, 51.010632, 0.439994, 0.131851, 0.009317, 0.001365
120.000000, 50.000000, 49.264881, 51.162433, 0.419628, 0.131851, 0.009317, 0.001365
121.000000, 50.538429, 49.541515, 51.313013, 0.400615, 0.131851, 0.009317, 0.001365
122.000000, 51.152241, 51.676137, 51.708685, 0.400266, 0.131851, 0.009317, 0.001365
123.000000, 51.837061, 52.099606, 52.107719, 0.400179, 0.131851, 0.009317, 0.001365
124.000000, 52.585786, 53.166918, 52.594790, 0.406319, 0.131851, 0.009317, 0.001365
125.000000, 53.388860, 53.897121, 53.119250, 0.414668, 0.131851, 0.009317, 0.001365
126.000000, 54.234633, 55.172985, 53.750030, 0.429940, 0.131851, 0.009317, 0.001365
127.000000, 55.109819, 55.043717, 54.293856, 0.437988, 0.131851, 0.009317, 0.001365
