t, x, z, xf, vf, P11, P12, P22
96.965996, 40.860073, 40.144702, 39.974237, 0.479566, 0.131658, 0.009316, 0.001365
97.963493, 41.733849, 41.675018, 40.613548, 0.490952, 0.131662, 0.009314, 0.001364
98.986850, 42.600268, 41.034355, 41.105188, 0.490189, 0.132082, 0.009342, 0.001369
99.999794, 43.414053, 42.980132, 41.784051, 0.503084, 0.132275, 0.009355, 0.001370
100.965771, 44.138319, 44.206156, 42.524969, 0.521112, 0.131680, 0.009311, 0.001364
101.996961, 44.845783, 42.115541, 42.937152, 0.512261, 0.132217, 0.009348, 0.001369
102.952241, 45.433946, 44.876117, 43.617060, 0.525733, 0.131453, 0.009293, 0.001361
103.989765, 45.994878, 45.986882, 44.403553, 0.542772, 0.132119, 0.009340, 0.001368
105.050672, 46.482927, 48.585957, 45.459343, 0.576700, 0.133079, 0.009407, 0.001379
105.973436, 46.838444, 44.221486, 45.758447, 0.560225, 0.131667, 0.009307, 0.001364
106.935612, 47.144660, 45.857792, 46.239845, 0.556151, 0.131086, 0.009267, 0.001358
107.950054, 47.403041, 46.773975, 46.800078, 0.555872, 0.131425, 0.009291, 0.001361
108.970163, 47.605945, 47.424806, 47.374731, 0.556409, 0.131812, 0.009318, 0.001366
110.080586, 47.776328, 48.887808, 48.112199, 0.564865, 0.133619, 0.009446, 0.001386
111.030420, 47.893667, 47.615695, 48.511777, 0.555183, 0.132572, 0.009373, 0.001375
112.015628, 48.001677, 48.602551, 48.998418, 0.550918, 0.132244, 0.009350, 0.001371
113.006578, 48.110575, 47.197939, 49.234496, 0.529010, 0.132054, 0.009337, 0.001369
114.052976, 48.241943, 48.853570, 49.663961, 0.520236, 0.132790, 0.009389, 0.001377
115.087839, 48.404265, 45.758185, 49.610184, 0.478368, 0.133243, 0.009421, 0.001381
115.987745, 48.583066, 47.772391, 49.742524, 0.457287, 0.131442, 0.009294, 0.001363
117.005081, 48.838494, 50.098976, 50.193405, 0.456274, 0.131786, 0.009319, 0.001366
117.996850, 49.151140, 46.980113, 50.163240, 0.422142, 0.131672, 0.009311, 0.001365
118.966737, 49.524388, 49.983674, 50.495383, 0.416677, 0.131219, 0.009279, 0.001360
119.974027, 49.987039, 49.999337, 50.794739, 0.408166, 0.131430, 0.009294, 0.001362
120.965257, 50.518442, 50.099606, 51.054873, 0.397952, 0.131354, 0.009288, 0.001361
122.004546, 51.155198, 50.531821, 51.344764, 0.389206, 0.132064, 0.009338, 0.001368
122.973964, 51.818384, 50.850587, 51.607425, 0.381101, 0.131549, 0.009301, 0.001363
124.012652, 52.595630, 52.996275, 52.134569, 0.390384, 0.132223, 0.009348, 0.001370
125.066192, 53.443662, 53.374338, 52.656085, 0.398177, 0.133052, 0.009406, 0.001379
126.050104, 54.277900, 54.259195, 53.208525, 0.409535, 0.132637, 0.009377, 0.001374
126.972994, 55.085920, 55.585782, 53.848971, 0.428092, 0.131291, 0.009282, 0.001360
